선수명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
최재훈,0.3,126,389,339,46,102,19,0,3,130,36,5,0,29,0,16,44,7,0.38,0.38,0.77,19,0.33,0.3
이용규,0.29,120,487,419,60,120,14,2,1,141,32,2,1,59,0,6,36,9,0.34,0.38,0.72,31,0.29,0
정진호,0.28,113,326,282,30,78,14,1,2,100,19,10,2,29,1,3,50,5,0.36,0.35,0.7,16,0.19,0.35
노시환,0.22,106,387,346,46,76,18,2,12,134,43,1,1,33,1,6,116,8,0.39,0.3,0.69,19,0.16,0
노수광,0.25,100,330,291,39,73,10,3,1,92,21,2,1,34,2,2,64,2,0.32,0.33,0.65,20,0.22,0.39
강경학,0.23,94,238,193,25,44,7,1,4,65,19,5,2,35,0,3,64,2,0.34,0.35,0.69,6,0.18,0.23
송광민,0.235,94,298,277,31,65,12,0,9,104,43,1,3,14,1,3,69,17,0.38,0.28,0.65,14,0.27,0.13
오선진,0.23,93,222,197,17,46,4,0,2,56,17,6,0,16,0,3,39,10,0.28,0.3,0.59,7,0.19,0
최진행,0.23,84,240,214,23,50,5,0,8,79,30,0,3,18,0,5,59,11,0.37,0.3,0.67,11,0.21,0.29
이성열,0.2,79,248,227,23,46,5,0,8,75,34,0,0,16,0,5,69,4,0.33,0.27,0.6,8,0.19,0.37
정은원,0.25,79,303,254,28,63,9,2,3,85,29,2,1,41,0,5,41,4,0.34,0.36,0.7,17,0.23,0.33
반즈,0.27,74,319,283,38,75,17,1,9,121,42,0,2,27,1,7,81,4,0.43,0.34,0.77,23,0.35,0
하주석,0.29,72,281,262,22,75,11,0,2,92,32,2,2,13,0,2,66,3,0.35,0.32,0.67,20,0.31,0
이해창,0.27,70,135,119,11,32,5,0,3,46,17,1,2,9,0,4,23,6,0.39,0.34,0.72,6,0.39,0.33
김태균,0.22,67,254,219,14,48,11,0,2,65,29,1,2,30,3,2,42,8,0.3,0.32,0.61,12,0.32,0
노태형,0.22,55,113,102,14,22,4,1,0,28,6,1,0,7,0,3,31,0,0.28,0.29,0.56,6,0.21,0.29
임종찬,0.23,52,119,108,5,25,5,0,1,33,12,1,0,9,0,1,38,2,0.31,0.3,0.6,5,0.22,0.14
최인호,0.24,47,135,127,8,30,0,0,0,30,8,1,2,4,0,1,34,3,0.24,0.26,0.5,7,0.23,0.22
