선수명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
박상원,4.66,62,1,0,1,10,1,58,62,8,20,4,52,35,30,1.41,4.66,0,0,0,4,256,981,0.27,14,1,1,2,4,2,1
김진영,3.33,58,3,3,0,8,0.5,54,48,6,22,3,56,26,20,1.3,3.33,0,0,0,1,231,949,0.24,4,0,1,2,0,5,0
윤대경,1.59,55,5,0,0,7,1,51,48,3,25,3,42,16,9,1.43,1.59,0,0,0,0,225,869,0.25,7,0,4,2,3,1,0
김종수,5.94,54,1,1,1,7,0.5,50,54,6,26,3,43,34,33,1.6,5.94,0,0,0,1,228,941,0.28,11,3,3,0,1,4,0
강재민,2.57,50,1,2,1,14,0.33,49,41,3,18,0,57,16,14,1.2,2.57,0,0,0,2,203,871,0.23,5,0,3,1,1,2,1
정우람,4.8,50,3,5,16,0,0.38,54.33,58,4,12,5,53,29,29,1.29,4.8,0,0,0,3,230,907,0.28,11,1,4,4,1,2,0
안영명,5.91,39,1,1,0,1,0.5,45.67,51,9,18,2,34,32,30,1.51,5.91,0,0,0,1,201,753,0.29,8,1,4,3,1,0,0
서폴드,4.91,28,10,13,0,0,0.44,165,203,19,42,13,97,107,90,1.48,4.91,1,1,13,0,734,"2,742.00",0.3,30,3,5,6,0,10,0
김민우,4.34,26,5,10,0,0,0.33,132.67,121,15,72,7,124,72,64,1.45,4.34,0,0,5,0,593,"2,460.00",0.24,16,1,5,4,3,10,2
송윤준,4.3,26,0,0,0,1,0,23,23,1,13,1,16,11,11,1.57,4.3,0,0,0,0,106,434,0.26,7,0,2,1,0,3,0
장시환,5.02,26,4,14,0,0,0.22,132.67,139,15,74,8,115,81,74,1.61,5.02,0,0,11,0,603,"2,434.00",0.27,27,1,2,6,0,10,0
김범수,5.24,24,3,6,0,0,0.33,55,55,9,42,3,55,34,32,1.76,5.24,0,0,2,0,259,"1,091.00",0.26,11,2,1,2,3,1,0
장민재,6.75,24,2,7,0,0,0.22,57.33,86,5,13,2,32,44,43,1.73,6.75,0,0,2,0,267,975,0.35,19,2,0,6,0,1,0
김진욱,5.64,22,3,4,1,0,0.43,44.67,50,9,25,5,29,29,28,1.68,5.64,0,0,1,1,206,837,0.29,12,1,2,0,0,3,0
황영국,10.24,21,0,0,0,4,0,19.33,29,3,14,2,17,22,22,2.22,10.24,0,0,0,1,101,420,0.35,4,0,0,1,1,3,0
