선수명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
알테어,0.278,136,546,482,90,134,20,7,31,261,108,0,6,46,3,12,149,10,0.541,0.352,0.893,38,0.333,0
이명기,0.306,136,540,477,82,146,18,3,2,176,45,5,4,50,0,4,78,6,0.369,0.374,0.743,41,0.311,0.154
노진혁,0.274,132,484,427,70,117,22,3,20,205,82,3,0,49,3,5,106,8,0.48,0.356,0.836,34,0.351,0.125
나성범,0.324,130,584,525,115,170,37,2,34,313,112,0,1,49,2,9,148,6,0.596,0.39,0.986,53,0.338,1
양의지,0.328,130,528,461,86,151,26,1,33,278,124,1,6,46,7,14,47,11,0.603,0.4,1.003,45,0.425,0.222
박민우,0.345,126,530,467,82,161,27,5,8,222,63,2,10,36,2,15,48,12,0.475,0.402,0.877,47,0.388,0.6
권희동,0.26,123,426,346,67,90,16,0,12,142,50,6,5,58,0,11,72,6,0.41,0.379,0.789,19,0.286,0.316
박석민,0.306,123,448,356,58,109,15,0,14,166,63,2,4,75,2,10,62,11,0.466,0.436,0.902,20,0.327,0.533
강진성,0.309,121,432,395,53,122,25,0,12,183,70,2,6,20,0,9,46,11,0.463,0.351,0.814,32,0.348,0.375
김성욱,0.221,104,225,195,32,43,4,1,8,73,26,7,2,17,0,4,40,0,0.374,0.294,0.668,9,0.297,0.059
지석훈,0.207,87,142,121,22,25,8,0,1,36,12,2,2,15,0,2,33,4,0.298,0.3,0.598,5,0.214,0.333
이상호,0.131,82,65,61,18,8,1,0,0,9,4,1,0,3,0,0,5,2,0.148,0.172,0.32,0,0.267,0.143
김태군,0.292,80,131,113,16,33,6,0,1,42,18,7,1,6,0,4,14,3,0.372,0.347,0.719,6,0.323,0.333
이원재,0.258,73,146,132,15,34,5,2,4,55,17,2,1,11,1,0,26,3,0.417,0.313,0.73,8,0.242,0.222
모창민,0.301,62,149,136,10,41,10,2,2,61,13,2,2,8,1,1,22,5,0.449,0.34,0.789,11,0.282,0.308
김찬형,0.297,56,72,64,10,19,6,0,0,25,7,2,1,4,0,1,11,0,0.391,0.343,0.734,2,0.316,0.167
최정원,0.275,49,48,40,18,11,3,1,0,16,2,1,0,7,0,0,13,1,0.4,0.383,0.783,0,0.222,0.429
김준완,0.215,45,75,65,8,14,1,0,1,18,5,0,0,10,0,0,9,3,0.277,0.32,0.597,0,0.158,0.333
김형준,0.306,44,82,72,12,22,1,0,3,32,11,0,0,10,0,0,21,1,0.444,0.39,0.834,4,0.25,0.364
