순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,김상수,키움,4.73,60,3,3,5,11,0.5,51.33 ,52,3,21,3,48,33,27,1.42,0,0,0,3,226,906,0.265,12,0,3,2,1,1,0
2,양현,키움,3.3,58,8,3,2,11,0.727,60.00 ,58,4,17,3,33,23,22,1.25,0,0,0,2,245,889,0.265,9,1,1,5,0,1,0
3,김태훈,키움,4.22,53,7,0,0,10,1,64.00 ,70,1,22,5,40,34,30,1.44,0,0,0,2,281,1039,0.282,14,1,4,2,1,3,0
3,조상우,키움,2.15,53,5,3,33,0,0.625,54.33 ,50,3,18,2,64,15,13,1.25,0,0,0,3,232,955,0.238,5,0,2,0,2,1,0
5,이영준,키움,4.73,52,2,3,0,25,0.4,40.00 ,41,5,19,2,32,21,21,1.5,0,0,0,1,176,695,0.268,3,0,0,2,0,3,1
6,김재웅,키움,4.68,43,1,4,0,2,0.2,59.67 ,64,7,23,2,51,36,31,1.46,0,0,0,0,258,1040,0.279,18,0,3,1,1,4,0
7,안우진,키움,3,42,2,3,2,13,0.4,36.00 ,20,3,17,0,41,12,12,1.03,0,0,0,5,143,579,0.16,2,0,0,1,1,2,0
7,조성운,키움,5.4,42,1,1,0,1,0.5,45.00 ,48,6,19,2,29,30,27,1.49,0,0,0,0,201,789,0.277,11,1,3,4,1,2,0
9,임규빈,키움,4.54,33,2,0,0,2,1,37.67 ,46,11,10,2,20,20,19,1.49,0,0,0,0,162,603,0.315,7,0,1,3,0,2,0
10,요키시,키움,2.14,27,12,7,0,0,0.632,159.67 ,144,6,25,6,115,53,38,1.06,0,0,20,0,640,2417,0.237,26,3,2,0,0,3,1
11,김선기,키움,2.05,25,0,0,0,3,-,22.00 ,17,1,8,4,11,8,5,1.14,0,0,0,0,92,346,0.218,3,0,1,1,0,4,0
11,김성민,키움,6.46,25,1,0,0,0,1,23.67 ,28,3,12,3,21,19,17,1.69,0,0,0,0,112,423,0.304,6,0,3,2,2,1,0
11,오주원,키움,5.4,25,3,1,0,2,0.75,18.33 ,22,6,0,0,13,12,11,1.2,0,0,0,1,78,277,0.297,2,0,3,1,0,0,1
11,한현희,키움,4.98,25,7,9,0,0,0.438,135.67 ,141,10,37,14,109,77,75,1.31,0,0,9,0,587,2245,0.266,20,1,5,0,2,3,2
15,양기현,키움,3.86,24,0,1,0,1,0,23.33 ,24,3,10,1,12,10,10,1.46,0,0,0,0,99,383,0.282,3,0,3,0,1,2,0
15,이승호,키움,5.08,24,6,6,0,0,0.5,118.67 ,132,15,40,5,73,71,67,1.45,0,0,8,0,517,1941,0.284,20,1,4,4,0,3,1
17,브리검,키움,3.62,21,9,5,0,0,0.643,107.00 ,98,6,42,5,105,45,43,1.31,0,0,7,0,456,1843,0.246,7,2,5,6,1,8,0
17,최원태,키움,5.07,21,7,6,0,0,0.538,110.00 ,115,16,37,7,67,68,62,1.38,0,0,7,0,456,1843,0.246,7,2,5,6,1,8,0
19,조영건,키움,5.28,20,3,3,0,0,0.5,44.33 ,47,8,27,4,23,30,26,1.67,0,0,0,0,207,800,0.269,7,1,1,0,1,0,1
