"","name","OPS","AVG","RISP"
"1","알테어",0.893,0.278,0.333
"2","이명기",0.743,0.306,0.311
"3","노진혁",0.836,0.274,0.351
"4","나성범",0.986,0.324,0.338
"5","양의지",1.003,0.328,0.425
"6","박민우",0.877,0.345,0.388
"7","권희동",0.789,0.26,0.286
"8","박석민",0.902,0.306,0.327
"9","강진성",0.814,0.309,0.348
"10","김성욱",0.668,0.221,0.297
"11","지석훈",0.598,0.207,0.214
"12","이상호",0.32,0.131,0.267
"13","김태군",0.719,0.292,0.323
"14","이원재",0.73,0.258,0.242
"15","모창민",0.789,0.301,0.282
"16","김찬형",0.734,0.297,0.316
"17","최정원",0.783,0.275,0.222
"18","김준완",0.597,0.215,0.158
"19","김형준",0.834,0.306,0.25
