"","name","FIP","BB_9","SO_9","WHIP"
"1","김상수",3.43,2.33,5.33,1.42
"2","양현",3.97,1.89,3.67,1.25
"3","김태훈",3.37,2.44,4.44,1.44
"4","조상우",2.56,2,7.11,1.25
"5","이영준",4.8,2.11,3.56,1.5
"6","김재웅",4.22,2.56,5.67,1.46
"7","안우진",3.34,1.89,4.56,1.03
"8","조성운",4.98,2.11,3.22,1.49
"9","임규빈",6.89,1.11,2.22,1.49
"10","요키시",2.83,2.78,12.78,1.06
"11","김선기",4.43,0.89,1.22,1.14
"12","김성민",4.72,1.33,2.33,1.69
"13","오주원",6.04,0,1.44,1.2
"14","한현희",3.63,4.11,12.11,1.31
"15","양기현",5.13,1.11,1.33,1.46
"16","이승호",4.75,4.44,8.11,1.45
"17","브리검",3.26,4.67,11.67,1.31
"18","최원태",5.05,4.11,7.44,1.38
"19","조영건",6.54,3,2.56,1.67
