"","name","FIP","BB_9","SO_9","WHIP"
"1","임정호",4.27,2.22,4.22,1.27
"2","원종현",3.78,2.22,4.56,1.33
"3","문경찬",5.24,1.67,4.89,1.27
"4","배재환",5.73,3.89,3.67,1.7
"5","김진성",2.5,1.11,6.22,1.08
"6","임창민",4.16,2.56,4.89,1.65
"7","박진우",4.04,1.44,2.44,1.4
"8","송명기",4.71,4.33,8,1.33
"9","김건태",4.89,2.78,4.11,1.54
"10","강윤구",5.2,1.22,1.67,2
"11","루친스키",3.48,6.33,18.56,1.26
"12","홍성민",3.93,0.67,1.56,1
"13","라이트",3.99,7,13.89,1.44
"14","강동연",4.78,1.22,1.89,1.58
"15","박정수",5.75,2.67,3.22,1.48
"16","김영규",4.59,1.56,6.11,1.43
